OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group,Address
195,3/8/2020,3/27/2020,224.0755085,Human,37.02753,-91.23881,MOMOC,Timber,US-MO,19,Group-2,"County Road H-563, Low Wassie, Shannon County, Missouri, United States"
196,7/21/2020,7/30/2020,1.839062939,Natural,38.99669,-119.5408,NVSFC,Timber,US-NV,9,Group-1,"Douglas County, Nevada, United States"
197,2/18/2021,3/5/2021,44.85458969,Human,36.09058,-115.0345,NVLIC,Unknown,US-NV,15,Group-2,"5478, Flowing Spring Street, East Las Vegas, Whitney, Clark County, Nevada, 89122, United States"
200,8/5/2020,8/6/2020,0.5,Unknown,42.3689,-105.4883,WYCPC,Grass-Shrub,US-WY,1,Group-1,"Converse County, Wyoming, United States"
203,6/19/2020,6/26/2020,4,Human,31.75981,-111.9623,AZTDC,Unknown,US-AZ,7,Group-1,"Pima County, Arizona, United States"
204,5/2/2020,5/6/2020,0.756747572,Human,39.64943,-116.0325,NVCNC,Brush,US-NV,4,Group-1,"Eureka / Carlin Road, Shannon, Eureka County, Nevada, 89822, United States"
207,6/12/2020,6/17/2020,4,Human,33.84206,-112.3329,AZPDC,Grass,US-AZ,5,Group-1,"North Christian Church Camp Road, Peoria, Maricopa County, Arizona, United States"
212,7/20/2020,7/21/2020,56.75,Human,34.13575,-117.1915,CASBCC,Unknown,US-CA,1,Group-1,"Steve Faris Memorial Highway, Highland, San Bernardino County, California, 92346, United States"
214,12/29/2020,12/31/2020,4,Human,34.92741,-98.41821,ARAOC,Grass,US-OK,2,Group-1,"11034, E1440 Road, Caddo County, Oklahoma, 73006, United States"
216,3/12/2021,3/31/2021,4.635735481,Human,29.05793,-81.83696,FLFIC,Timber,US-FL,19,Group-2,"11343, Southeast 189th Terrace, Marion County, Florida, 32179, United States"
218,6/9/2020,6/23/2020,4,Human,34.03764,-118.69873,CALACC,Unknown,US-CA,,,"3658, Winter Canyon Road, Malibu, Los Angeles County, California, 90265, United States"
220,5/7/2020,5/11/2020,15,Human,34.1334,-117.1833,CASBCC,Unknown,US-CA,4,Group-1,"28426, Highland Avenue, Highland, San Bernardino County, California, 92346, United States"
221,11/10/2020,11/25/2020,4,Human,38.59136,-82.5837,PAMACC,Timber,US-OH,15,Group-2,"2786, Oak Ridge Road, Lawrence Township, Lawrence County, Ohio, 45645, United States"
223,2/4/2021,2/20/2021,0.1,Human,34.89812,-95.26555,ARAOC,Timber,US-OK,16,Group-2,"Craven Road, Latimer County, Oklahoma, 74578, United States"
229,3/19/2021,3/21/2021,0.35,Undetermined,25.42499,-80.78468,FLFIC,Grass,US-FL,2,Group-1,"Miami-Dade County, Florida, United States"
232,4/24/2020,5/8/2020,4,Unknown,34.0396,-118.58123,CALACC,Unknown,US-CA,,,"Pacific Coast Highway, Topanga, California, 90272-3002, United States"
234,6/15/2020,6/17/2020,0.005355765,Human,36.03313,-115.7027,NVLIC,Grass,US-NV,2,Group-1,"Pahrump Valley Highway, Clark County, Nevada, United States"
236,7/7/2020,7/10/2020,4,Natural,48.00811,-90.51053,MNMNCC,Timber,US-MN,3,Group-1,"Cook County, Minnesota, United States"
238,2/26/2021,3/12/2021,4,Unknown,37.47321024,-119.7222323,CAVNCC,Brush,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
241,2/11/2021,2/21/2021,4,Human,38.7946,-104.8999,COPBC,Grass,US-CO,10,Group-1,"High Drive, El Paso County, Colorado, United States"
249,6/11/2020,6/12/2020,0.763525551,Human,39.918217,-114.716333,NVECC,Grass,US-NV,1,Group-1,"Great Basin Highway, Lages Station, White Pine County, Nevada, United States"
250,5/11/2020,5/26/2020,32.8575616,Human,35.87371,-115.22,NVLIC,Grass,US-NV,15,Group-2,"Erie, Clark County, Nevada, United States"
251,9/27/2020,10/1/2020,4.744831002,Unknown,45.7625,-108.4518,MTBDC,Unknown,US-MT,4,Group-1,"2008, Coburn Road, Yellowstone County, Montana, 59101, United States"
252,6/17/2020,7/1/2020,83,Human,35.91634,-121.4352,CALPCC,Grass,US-CA,14,Group-1,"Plaskett Ridge Road, Plaskett, Monterey County, California, United States"
255,8/15/2020,10/14/2020,4,Natural,33.39059,-110.4627,AZPHC,Grass-Shrub,US-AZ,60,Group-5,"White Mountain Avenue, Gila County, Arizona, United States"
256,8/16/2020,9/21/2020,5967.492069,Human,47.26405595,-119.8700216,WAYAC,Unknown,US-WA,36,Group-3,"Martin Road Northwest, Grant County, Washington, United States"
257,8/2/2020,8/10/2020,2.421361478,Human,35.87958,-115.2119,NVLIC,Grass,US-NV,8,Group-1,"Clark County, Nevada, United States"
258,5/18/2020,5/20/2020,4,Human,33.36214,-110.6097,AZPHC,Grass-Shrub,US-AZ,2,Group-1,"Gila County, Arizona, United States"
264,9/1/2020,9/6/2020,0.00758868,Unknown,41.333,-110.4348,WYCPC,Grass-Shrub,US-WY,5,Group-1,"I 80, Uinta County, Wyoming, 82933, United States"
268,7/22/2020,7/27/2020,4,Natural,30.38267,-81.48618,FLFIC,Timber,US-FL,5,Group-1,"13250, Ft Caroline Road, St Johns Bluff Estates, Jacksonville, Duval County, Florida, 32225, United States"
272,3/11/2021,3/19/2021,7,Human,35.25705,-95.09035,ARAOC,Grass-Shrub,US-OK,8,Group-1,"OK 9, Haskell County, Oklahoma, 74462, United States"
274,3/21/2021,3/24/2021,0.1,Human,47.57047697,-93.74467364,MNMNCC,Grass,US-MN,3,Group-1,"Itasca County, Minnesota, United States"
275,11/2/2020,12/11/2020,0.1,Unknown,44.85152,-112.1471,MTDDC,Timber,US-MT,39,Group-3,"Madison County, Montana, United States"
276,2/13/2021,2/22/2021,160.8896715,Human,31.84475,-110.7289,AZTDC,Grass-Shrub,US-AZ,9,Group-1,"Rosemont Junction, Pima County, Arizona, United States"
278,9/2/2020,9/19/2020,4,Human,46.5407855,-108.3748779,MTFPAC,Grass,US-MT,17,Group-2,"572, North Gage Road, Musselshell County, Montana, 59072, United States"
281,6/8/2020,6/9/2020,0.036484702,Human,36.4404,-114.9641,NVLIC,Grass,US-NV,1,Group-1,"Frozen Toe Road, Clark County, Nevada, United States"
283,8/4/2020,8/18/2020,19.05372625,Human,29.17363,-102.9964,,Unknown,MX-CA,,,"former ""motel"", Hot Springs Road, Hot Springs, Brewster County, Texas, United States"
284,6/15/2020,7/8/2020,4,Natural,37.40153,-107.1118,CODRC,Timber,US-CO,23,Group-2,"County Road 634, Mineral County, Colorado, United States"
286,7/17/2020,7/22/2020,4,Human,37.04667,-113.3002,UTCDC,Grass,US-UT,5,Group-1,"Washington County, Utah, United States"
287,5/31/2020,6/14/2020,4,Unknown,33.16,-112.6489,AZPDC,Unknown,US-AZ,,,"Buckeye, Maricopa County, Arizona, United States"
289,5/5/2020,5/10/2020,3.512988948,Human,35.83795,-115.2706,NVLIC,Grass,US-NV,5,Group-1,"Seven Magic Mountains, South Las Vegas Boulevard, Henderson, Clark County, Nevada, United States"
292,8/24/2020,8/31/2020,4,Natural,34.74034,-113.2135,AZPDC,Unknown,US-AZ,7,Group-1,"Yavapai County, Arizona, United States"
293,6/26/2020,6/26/2020,4,Human,43.299428,-74.217933,NHNEC,Grass,US-NY,0,Group-1,"Ошская область, Кыргызстан"
294,10/26/2020,11/9/2020,13694.30253,Unknown,37.47321024,-119.7222323,CARRCC,Unknown,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
297,9/7/2020,10/28/2020,7120.105168,Unknown,48.33591,-118.202,WACAC,Timber,US-WA,51,Group-4,"Inchelium Kettle Falls Road, Inchelium, Ferry County, Washington, United States"
301,3/7/2021,3/17/2021,1,Human,36.70221,-92.1424,MOMOC,Timber,US-MO,10,Group-1,"State Highway KK, Howell County, Missouri, 65637, United States"
304,7/21/2020,9/16/2020,4,Human,46.5407855,-108.3748779,MTMCC,Grass,US-MT,57,Group-4,"572, North Gage Road, Musselshell County, Montana, 59072, United States"
306,7/22/2020,8/5/2020,4,Unknown,37.47321024,-119.7222323,CALACC,Timber,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
310,8/7/2020,8/13/2020,10.66461604,Human,40.178333,-110.299444,UTUBC,Unknown,US-UT,6,Group-1,"US 40;SR 6, Duchesne County, Utah, United States"
311,7/15/2020,7/18/2020,0.069572488,Human,33.3329,-110.4553,AZPHC,Grass-Shrub,US-AZ,3,Group-1,"Indian Route 170, Peridot, Gila County, Arizona, 85542, United States"
312,6/24/2020,7/8/2020,23,Human,44.44703,-105.4584,WYCPC,Grass,US-WY,,,"WY 59, Campbell County, Wyoming, United States"
316,7/21/2020,7/24/2020,14.47517494,Human,45.2422,-115.5305,IDPAC,Timber,US-ID,3,Group-1,"Rattlesnake Peak Trail, Valley County, Idaho, United States"
317,8/10/2020,8/18/2020,4,Human,47.10974,-119.3742,WACWC,Unknown,US-WA,8,Group-1,"1484, Road E.5 Northeast, Grant County, Washington, 98837, United States"
321,8/30/2020,9/3/2020,0.046931825,Human,35.91423,-115.1884,NVLIC,Grass-Shrub,US-NV,4,Group-1,"Clark County, Nevada, United States"
322,7/27/2020,9/11/2020,0.1,Natural,41.8067,-119.666769,CASIFC,Grass-Shrub,US-NV,46,Group-4,"Washoe County, Nevada, United States"
324,9/7/2020,10/22/2020,1632,Human,46.50879,-116.3869,IDGVC,Unknown,US-ID,45,Group-4,"Cavendish Road, Clearwater County, Idaho, 83541, United States"
326,6/23/2020,6/26/2020,1090,Natural,27.13334,-97.37183,TXTIC,Grass-Shrub,US-TX,3,Group-1,"Kenedy, Texas, United States"
329,5/26/2020,6/2/2020,0.203632236,Human,35.87266,-115.2332,NVLIC,Grass,US-NV,7,Group-1,"South Las Vegas Boulevard, Henderson, Clark County, Nevada, 89026, United States"
330,3/6/2021,3/20/2021,1,Unknown,36.94331,-92.07699,MOMOC,Unknown,US-MO,,,"Howell County, Missouri, United States"
331,9/21/2020,9/24/2020,4,Human,44.03513101,-103.0360372,SDGPC,Timber,US-SD,3,Group-1,"Pennington County, South Dakota, United States"
332,9/7/2020,9/8/2020,4,Human,35.09114,-98.65868,ARAOC,Unknown,US-OK,1,Group-1,"Kiowa County, Oklahoma, United States"
335,3/8/2021,3/31/2021,1,Human,36.61083,-84.35006,KYKIC,Timber,US-KY,23,Group-2,"Fd-6279, McCreary County, Kentucky, United States"
337,6/13/2020,6/24/2020,0.06557491,Natural,40.84843,-117.6173,NVCNC,Timber,US-NV,11,Group-1,"Humboldt County, Nevada, United States"
338,7/19/2020,7/20/2020,9.036197058,Natural,37.059973,-102.566814,COPBC,Unknown,US-CO,1,Group-1,"US 287;US 385, Baca County, Colorado, United States"
341,7/4/2020,7/6/2020,0.066107383,Human,36.01137,-114.9224,NVLIC,Grass-Shrub,US-NV,2,Group-1,"River Mountains Loop Trail, Railroad Pass, Henderson, Clark County, Nevada, 89002, United States"
342,3/11/2021,3/18/2021,1,Human,37.64308636,-79.76722545,VAVIC,Timber,US-VA,7,Group-1,"12711, Narrow Passage Road, Eagle Rock, Botetourt County, Virginia, 24085, United States"
347,8/24/2020,9/7/2020,946.6801929,Unknown,39.965167,-121.582333,CABTCC,Unknown,US-CA,,,"Butte County, California, United States"
352,9/8/2020,10/9/2020,132.4262977,Human,47.15501,-121.8583,WAPSC,Unknown,US-WA,31,Group-3,"Southeast Enumclaw Chinook Pass Highway, King County, Washington, United States"
353,3/16/2021,3/18/2021,0.33,Human,31.55494,-92.59896,LALIC,Timber,US-LA,2,Group-1,"Highway 123, Grant Parish, Louisiana, 71423, United States"
356,9/5/2020,9/9/2020,4,Human,46.5407855,-108.3748779,MTRBAC,Grass,US-MT,4,Group-1,"572, North Gage Road, Musselshell County, Montana, 59072, United States"
358,8/16/2020,9/4/2020,48869.15997,Unknown,36.563,-121.640333,CABECC,Unknown,US-CA,19,Group-2,"Pine Canyon Road, Monterey County, California, United States"
359,9/18/2020,9/24/2020,11.40376691,Human,36.9903,-112.9748,UTCDC,Unknown,US-AZ,6,Group-1,"West Township Avenue, Colorado City, Mohave County, Arizona, 86021, United States"
361,8/16/2020,8/30/2020,589367.5568,Natural,39.76536,-122.6734,CAMNFC,Grass-Shrub,US-CA,,,"County Road 313, Glenn County, California, United States"
362,7/13/2020,7/29/2020,0.02801851,Natural,39.24994,-112.05,UTRFC,Timber,US-UT,16,Group-2,"Millard County, Utah, United States"
365,8/25/2020,8/27/2020,4,Human,34.99549,-96.63158,ARAOC,Grass,US-OK,2,Group-1,"Seminole County, Oklahoma, United States"
367,8/24/2020,9/1/2020,0.082230023,Natural,36.10345,-115.5518,NVLIC,Grass-Shrub,US-NV,8,Group-1,"Clark County, Nevada, United States"
373,10/10/2020,10/11/2020,4,Unknown,34.03454,-118.70581,CALACC,Grass-Shrub,US-CA,1,Group-1,"Pepperdine University - Malibu Campus, Pacific Coast Highway, Malibu, California, 90263, United States"
375,10/4/2020,10/11/2020,2.701833847,Human,39.86442,-119.6273,NVSFC,Grass,US-NV,7,Group-1,"Washoe County, Nevada, United States"
376,7/17/2020,7/22/2020,0.007390618,Human,36.26073,-115.3299,NVLIC,Grass,US-NV,5,Group-1,"North Shaumber Road, Las Vegas, Clark County, Nevada, 89166, United States"
377,11/9/2020,11/23/2020,367.251116,Unknown,35.60705,-83.81931,TNTNC,Grass,US-TN,,,"Cades Cove Loop Road, Cades Cove, Blount County, Tennessee, United States"
378,8/27/2020,8/28/2020,4,Human,39.1,-120.7284,CAGVCC,Grass-Shrub,US-CA,1,Group-1,"32099, Forest Hill Road, Placer County, California, 95631, United States"
379,1/24/2020,2/7/2020,9.8,Unknown,44.37727,-106.6538,WYCPC,Unknown,US-WY,,,"87, Kumor Road, Johnson County, Wyoming, 82834, United States"
380,7/29/2020,8/5/2020,4,Natural,44.51284,-119.4388,ORJDCC,Unknown,US-OR,7,Group-1,"Grant County, Oregon, United States"
382,7/20/2020,8/10/2020,2.794007947,Natural,36.01167,-115.4316,NVLIC,Grass,US-NV,21,Group-2,"Late Night Trailhead Parking, Badger Pass (Easy), Blue Diamond, Clark County, Nevada, 89004, United States"
383,7/17/2020,7/31/2020,4,Natural,38.41426,-97.8423025,COPBC,Timber,US-KS,14,Group-1,"McPherson County, Kansas, United States"
386,5/10/2020,5/13/2020,4,Human,33.30728,-110.4168,AZPHC,Grass-Shrub,US-AZ,3,Group-1,"Graham County, Arizona, United States"
391,6/16/2020,6/19/2020,0.309023594,Human,40.275861,-109.895639,UTUBC,Unknown,US-UT,3,Group-1,"Utah, 84026, United States"
393,8/18/2020,9/14/2020,328363.0942,Natural,40.12551,-123.0731,CAMNFC,Brush,US-CA,27,Group-2,"Trinity County, California, United States"
394,12/8/2020,12/14/2020,4,Human,34.45602,-112.3788,AZPDC,Timber,US-AZ,6,Group-1,"4893, East Walker Road, Walker, Yavapai County, Arizona, 86303, United States"
395,9/24/2020,9/24/2020,4,Human,44.45982,-109.5489,WYCDC,Grass-Shrub,US-WY,0,Group-1,"2615, North Fork Highway, Park County, Wyoming, 82414, United States"
397,7/27/2020,8/10/2020,143886.5336,Natural,41.19449,-123.4578,CANCIC,Timber,US-CA,,,"Humboldt County, California, United States"
398,7/22/2020,8/17/2020,4,Unknown,37.5943,-80.24779,VAVIC,Timber,US-VA,26,Group-2,"Hatcher Road, Craig County, Virginia, 24131, United States"
402,6/3/2020,6/8/2020,530.5270373,Natural,41.65477,-113.1956,UTNUC,Grass,US-UT,5,Group-1,"Box Elder County, Utah, United States"
403,8/21/2020,8/23/2020,4,Unknown,35.31761,-96.54798,ARAOC,Unknown,US-OK,2,Group-1,"Ns363 Road, Seminole County, Oklahoma, United States"
404,8/17/2020,8/31/2020,27.61016048,Unknown,40.041655,-121.664822,CABTCC,Unknown,US-CA,,,"Tehama County, California, United States"
405,7/23/2020,7/26/2020,21,Human,43.67613,-106.649,WYCPC,Grass,US-WY,3,Group-1,"I 25;US 87, Johnson County, Wyoming, United States"
412,2/28/2020,2/28/2020,4,Human,34.04435,-118.88895,CALACC,Grass-Shrub,US-CA,0,Group-1,"4281, Encinal Canyon Road, Malibu, California, 90265, United States"
415,5/22/2020,5/27/2020,4,Human,39.12571,-105.1286,COPBC,Grass-Shrub,US-CO,5,Group-1,"Forest Service 343, Teller County, Colorado, United States"
417,7/21/2020,7/24/2020,1.541854078,Natural,37.33164,-108.4119,CODRC,Grass,US-CO,3,Group-1,"Mesa Verde 1, Montezuma County, Colorado, 81328, United States"
418,7/5/2020,7/7/2020,4,Human,35.6255,-97.99436,ARAOC,Grass,US-OK,2,Group-1,"Black Kettle Boulevard, Concho, El Reno, Canadian County, Oklahoma, 73022, United States"
419,9/13/2020,9/14/2020,4,Human,45.253783,-69.445469,NHNEC,Timber,US-ME,1,Group-1,"319, Steward Road, Monson, Maine, 04464, United States"
421,5/9/2020,5/9/2020,0.370451784,Human,35.94007,-115.6569,NVLIC,Grass,US-NV,0,Group-1,"Clark County, Nevada, United States"
422,6/9/2020,6/11/2020,1.1,Human,35.04942,-98.26634,ARAOC,Timber,US-OK,2,Group-1,"Anadarko Municipal Airport, Walter Way, Anadarko, Caddo County, Oklahoma, 73005, United States"
424,1/8/2020,1/12/2020,4,Human,36.40574,-96.91376,ARAOC,Grass,US-OK,4,Group-1,"OK 15, Pawnee County, Oklahoma, United States"
425,8/9/2020,8/23/2020,136.5928345,Human,37.47321024,-119.7222323,CAFICC,Unknown,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States"
427,6/28/2020,7/3/2020,4,Human,32.8919,-112.0386,AZTDC,Unknown,US-AZ,5,Group-1,"44206, West Padilla Road, Pinal County, Arizona, 85138, United States"
428,5/28/2020,5/28/2020,0.1,Human,34.10317,-109.613,AZFDC,Timber,US-AZ,0,Group-1,"Apache County, Arizona, United States"
430,3/6/2021,3/8/2021,0.444808,Human,40.72304,-113.2888,UTNUC,Grass-Shrub,US-UT,2,Group-1,"Wendover Cut-off, Tooele County, Utah, United States"
435,10/4/2020,10/5/2020,4,Human,39.1409,-105.13,COPBC,Grass,US-CO,1,Group-1,"Forest Service 343A, Teller County, Colorado, United States"
438,3/14/2021,3/22/2021,8.51817466,Human,29.11693,-103.6698,,Grass-Shrub,MX-CH,8,Group-1,"Manuel Benavides, Chihuahua, México"
439,8/21/2020,9/24/2020,19506,Natural,33.16917,-110.4483,AZPHC,Grass-Shrub,US-AZ,34,Group-3,"County Road 574, Pinal County, Arizona, United States"
440,8/17/2020,12/7/2020,285.0376773,Natural,39.7485,-121.713333,CABTCC,Timber,US-CA,112,Group-5,"Butte County, California, United States"
441,8/17/2020,8/31/2020,0.002972638,Unknown,39.890483,-121.752683,CABTCC,Unknown,US-CA,,,"8754, Cohasset Road, Cohasset, Butte County, California, 95973, United States"
443,6/15/2020,6/29/2020,434.5502618,Unknown,35.179611,-120.697172,CASLCC,Unknown,US-CA,,,"Gragg Canyon Road, Sunset Palisades, San Luis Obispo County, California, 39424, United States"
445,6/2/2020,6/10/2020,4,Human,33.53549,-112.3048,AZPDC,Unknown,US-AZ,8,Group-1,"West Glendale Avenue, Glendale, Maricopa County, Arizona, 8551, United States"
446,7/23/2020,8/2/2020,1101.197505,Natural,40.6442,-118.018,NVCNC,Grass-Shrub,US-NV,10,Group-1,"Pershing County, Nevada, United States"
447,6/3/2020,6/3/2020,0.140549444,Human,36.44294,-114.9693,NVLIC,Grass,US-NV,0,Group-1,"Frozen Toe Road, Clark County, Nevada, United States"
450,5/12/2020,5/20/2020,4,Human,33.36138,-110.426,AZPHC,Grass-Shrub,US-AZ,8,Group-1,"Graham County, Arizona, 85542, United States"
452,3/13/2021,3/26/2021,2,Unknown,47.57047697,-93.74467364,MNMNCC,Grass,US-MN,13,Group-1,"Itasca County, Minnesota, United States"
454,8/31/2020,9/1/2020,0.206779546,Human,36.68947,-114.5037,NVLIC,Grass-Shrub,US-NV,1,Group-1,"Las Vegas Freeway, Moapa Valley, Clark County, Nevada, United States"
455,3/9/2020,3/11/2020,45.2,Human,41.03948186,-87.10185229,INIIC,Unknown,US-IN,2,Group-1,"200N, Jasper County, Indiana, 47978, United States"
456,8/17/2020,8/31/2020,6061.253131,Natural,39.54481,-122.7428,CAMNFC,Grass-Shrub,US-CA,,,"Forest Route 20N08, Glenn County, California, United States"
457,7/25/2020,8/10/2020,1.557925024,Human,36.2528,-115.6469,NVLIC,Grass-Shrub,US-NV,16,Group-2,"Cathedral Rock Trail, Mount Charleston, Clark County, Nevada, United States"
459,9/8/2020,9/9/2020,4.347045143,Human,42.37275,-112.4576,IDEIC,Unknown,US-ID,1,Group-1,"10800W, Oneida County, Idaho, United States"
461,6/7/2020,6/21/2020,4,Unknown,33.54541433,-111.45097,AZTDC,Unknown,US-AZ,,,"Apache Trail, Maricopa County, Arizona, United States"
462,1/13/2021,1/27/2021,1,Unknown,37.86,-91.9222,MOMOC,Unknown,US-MO,,,"USFS 1592, Phelps County, Missouri, 65550, United States"
463,7/15/2020,9/2/2020,4,Natural,46.5407855,-108.3748779,MTNCA,Grass-Shrub,US-MT,49,Group-4,"572, North Gage Road, Musselshell County, Montana, 59072, United States"
464,9/27/2020,9/27/2020,4,Human,44.03513101,-103.0360372,SDGPC,Grass,US-SD,0,Group-1,"Pennington County, South Dakota, United States"
465,9/12/2020,9/26/2020,303.4988348,Unknown,46.62252,-117.3332,WANEC,Unknown,US-WA,,,"Whitman County, Washington, United States"
466,11/18/2020,12/8/2020,4,Human,43.84427,-103.1931,SDGPC,Unknown,US-SD,20,Group-2,"24519, 2nd Street, Hermosa, Custer County, South Dakota, 57744, United States"
468,12/20/2020,12/28/2020,4,Human,33.36444,-110.4606,AZPHC,Grass-Shrub,US-AZ,8,Group-1,"29, Tufa Stone Lane, Gila County, Arizona, 85550, United States"
469,3/17/2021,3/31/2021,0.59,Human,45.36282,-108.5627,MTBDC,Grass,US-MT,14,Group-1,"Pryor Gap Road, Pryor, Big Horn County, Montana, United States"
470,6/28/2020,6/28/2020,0.2,Natural,46.75896,-105.3122,MTMCC,Grass,US-MT,0,Group-1,"Prairie County, Montana, 59349, United States"
471,7/6/2020,7/11/2020,4,Human,33.12754,-110.1138,AZPHC,Grass-Shrub,US-AZ,5,Group-1,"Indian Route 105, Bylas, Graham County, Arizona, United States"
