OBJECTID,Date_Start,Date_Finish,Acres,FireCause,Lat,Long,DispatchCenterID,PredominantFuelGroup,State,Fire_Duration,Fire_Duration_Group,Address,URLAddress,tempmax,tempmin,temp,humidity,precip,windspeed,pressure,visibility,solarradiation,conditions
145,9/15/2020,9/15/2020,4,Human,42.407211,-71.382437,NHNEC,Grass,US-MA,0,Group-1,"991, Concord Road, North Sudbury, Sudbury, Middlesex County, Massachusetts, 01776, United States",991%2C%20Concord%20Road%2C%20North%20Sudbury%2C%20Sudbury%2C%20Middlesex%20County%2C%20Massachusetts%2C%2001776%2C%20United%20States,,,,,,,,,,
148,10/17/2020,11/13/2020,3496.26613,Human,40.2339,-111.6577,UTNUC,Unknown,US-UT,27,Group-2,"Guru's, East Center Street, Downtown, Provo, Utah County, Utah, 84606, United States",Guru's%2C%20East%20Center%20Street%2C%20Downtown%2C%20Provo%2C%20Utah%20County%2C%20Utah%2C%2084606%2C%20United%20States,66.8,42.2,55.7,46.06,0,11.5,1015.7,9.9,382.3,Partially cloudy
150,8/18/2020,9/1/2020,51576.74401,Natural,40.14235,-123.0594,CATGCC,Brush,US-CA,,,"Trinity County, California, United States",Trinity%20County%2C%20California%2C%20United%20States,90,65.9,75.7,31.11,0,16.1,1012.9,9.9,531.9,Clear
152,8/6/2020,8/10/2020,4.86,Natural,44.4773,-118.8608,ORJDCC,Unknown,US-OR,4,Group-1,"Grant County, Oregon, United States",Grant%20County%2C%20Oregon%2C%20United%20States,63,47.6,53.3,62.61,0.04,8.1,1021,9.8,298.1,"Rain, Partially cloudy"
153,10/18/2020,11/1/2020,10133.955,Unknown,36.27003,-105.3278,NMTDC,Unknown,US-NM,,,"Colfax County, New Mexico, United States",Colfax%20County%2C%20New%20Mexico%2C%20United%20States,64,37.4,47.8,56.82,0.01,18.4,1016.2,9.8,358.6,"Rain, Partially cloudy"
157,6/14/2020,6/22/2020,4,Human,46.5407855,-108.3748779,MTNCA,Timber,US-MT,8,Group-1,"572, North Gage Road, Musselshell County, Montana, 59072, United States",572%2C%20North%20Gage%20Road%2C%20Musselshell%20County%2C%20Montana%2C%2059072%2C%20United%20States,55.4,38.1,46.6,53.27,0.01,27.1,1016.2,9.9,175.8,"Rain, Partially cloudy"
159,8/30/2020,11/19/2020,26751.75554,Unknown,38.64249,-119.5275,NVSFC,Unknown,US-CA,81,Group-5,"El Camino Sierra, Mono County, California, United States",El%20Camino%20Sierra%2C%20Mono%20County%2C%20California%2C%20United%20States,73.9,48.8,61.6,31.54,0,9.2,1015.1,9.9,423.9,Clear
163,8/19/2020,8/21/2020,4,Human,44.78692,-119.0711,ORJDCC,Unknown,US-OR,2,Group-1,"Long Creek-Pass Creek Road, Grant County, Oregon, United States",Long%20Creek-Pass%20Creek%20Road%2C%20Grant%20County%2C%20Oregon%2C%20United%20States,63,47.6,53.3,62.61,0.04,8.1,1021,9.8,444.3,"Rain, Partially cloudy"
167,3/9/2021,3/9/2021,0.1,Human,34.91935,-95.1033,ARAOC,Unknown,US-OK,0,Group-1,"Latimer County, Oklahoma, United States",Latimer%20County%2C%20Oklahoma%2C%20United%20States,63.3,49.1,59.1,86.33,0.15,14.2,1011.5,9.4,130,"Rain, Partially cloudy"
168,9/25/2020,10/9/2020,124.5232842,Unknown,41.03678,-107.5355,WYCPC,Grass-Shrub,US-WY,,,"McCarty Canyon Road, Dixon, Carbon County, Wyoming, United States",McCarty%20Canyon%20Road%2C%20Dixon%2C%20Carbon%20County%2C%20Wyoming%2C%20United%20States,50.7,27.3,39.3,70.89,0.03,21.3,1018.4,9.9,291.2,"Rain, Partially cloudy"
170,8/8/2020,8/10/2020,4,Human,44.758333,-119.100556,ORJDCC,Unknown,US-OR,2,Group-1,"Volny Long Creek Airstrip, Pendleton-John Day Highway, Grant County, Oregon, United States",Volny%20Long%20Creek%20Airstrip%2C%20Pendleton-John%20Day%20Highway%2C%20Grant%20County%2C%20Oregon%2C%20United%20States,62.7,45,53.1,59.97,0.06,6.1,1020.4,9.9,389.7,"Rain, Partially cloudy"
173,1/29/2021,1/30/2021,16.5,Human,44.38801,-108.9772,WYCDC,Grass-Shrub,US-WY,1,Group-1,"WY 120, Dry Creek, Park County, Wyoming, 82433, United States",WY%20120%2C%20Dry%20Creek%2C%20Park%20County%2C%20Wyoming%2C%2082433%2C%20United%20States,81.5,60.5,70.4,36.79,0,21.6,1012.8,9.9,472.8,Clear
174,6/16/2020,6/18/2020,4,Human,35.62577,-97.99472,ARAOC,Grass,US-OK,2,Group-1,"Black Kettle Boulevard, Concho, El Reno, Canadian County, Oklahoma, 73022, United States",Black%20Kettle%20Boulevard%2C%20Concho%2C%20El%20Reno%2C%20Canadian%20County%2C%20Oklahoma%2C%2073022%2C%20United%20States,65.2,50.1,57.7,67.24,0.29,21.4,1014.3,9.4,390.4,"Rain, Partially cloudy"
182,8/17/2020,8/20/2020,4,Natural,44.47685,-119.218,ORJDCC,Unknown,US-OR,3,Group-1,"Field Trail, Grant County, Oregon, United States",Field%20Trail%2C%20Grant%20County%2C%20Oregon%2C%20United%20States,63,47.6,53.3,62.61,0.04,8.1,1021,9.8,478.6,"Rain, Partially cloudy"
183,4/20/2020,4/22/2020,0.025794,Human,42.10453,-112.9403,IDEIC,Grass-Shrub,US-ID,2,Group-1,"I 84, Oneida County, Idaho, United States",I%2084%2C%20Oneida%20County%2C%20Idaho%2C%20United%20States,,,,,,,,,,
186,7/5/2020,7/19/2020,5513.187585,Unknown,37.023934,-121.513722,CASCCC,Unknown,US-CA,,,"7465, Crews Road, Santa Clara County, California, 95020, United States",7465%2C%20Crews%20Road%2C%20Santa%20Clara%20County%2C%20California%2C%2095020%2C%20United%20States,85.3,48.1,64.5,54.15,0,17.7,1014.1,9.9,459.1,Clear
187,11/9/2020,11/23/2020,0.1,Human,41.605278,-87.206389,INIIC,Timber,US-IN,,,"Stagecoach Road, Harbor Oaks, Portage, Porter County, Indiana, 46368, United States",Stagecoach%20Road%2C%20Harbor%20Oaks%2C%20Portage%2C%20Porter%20County%2C%20Indiana%2C%2046368%2C%20United%20States,62.6,46.6,50.7,89.11,0,11.1,1009.8,8.7,77.7,Overcast
189,8/13/2020,10/1/2020,4119.202185,Human,34.15672,-117.9107,CALACC,Unknown,US-CA,49,Group-4,"1803, Morningside Court, Azusa, California, 91702, United States",1803%2C%20Morningside%20Court%2C%20Azusa%2C%20California%2C%2091702%2C%20United%20States,86.8,57,70.4,59.26,0,15.5,1012.3,9.4,502.1,Clear
191,7/1/2020,7/9/2020,13.26789924,Human,32.64495,-111.3929,AZTDC,Unknown,US-AZ,8,Group-1,"Pinal County, Arizona, 85141, United States",Pinal%20County%2C%20Arizona%2C%2085141%2C%20United%20States,91.2,60.1,77.4,18.42,0,8.5,1011.9,9.9,369.8,Clear
193,7/6/2020,7/20/2020,4,Human,45.22878,-120.72,ORCOC,Grass-Shrub,US-OR,,,"Sherman Highway, Kent, Sherman County, Oregon, United States",Sherman%20Highway%2C%20Kent%2C%20Sherman%20County%2C%20Oregon%2C%20United%20States,75.8,52.1,64.4,47.32,0,20.3,1020,9.9,485.9,Clear
194,9/28/2020,9/30/2020,4,Human,44.03513101,-103.0360372,SDGPC,Timber,US-SD,2,Group-1,"Pennington County, South Dakota, United States",Pennington%20County%2C%20South%20Dakota%2C%20United%20States,61.8,33.3,47.4,59.35,0.07,20.1,1017,9.8,336,"Rain, Partially cloudy"
195,3/8/2020,3/27/2020,224.0755085,Human,37.02753,-91.23881,MOMOC,Timber,US-MO,19,Group-2,"County Road H-563, Low Wassie, Shannon County, Missouri, United States",County%20Road%20H-563%2C%20Low%20Wassie%2C%20Shannon%20County%2C%20Missouri%2C%20United%20States,66.8,47.9,59.3,89.28,1.34,15,1009.7,7.7,60.6,"Rain, Partially cloudy"
196,7/21/2020,7/30/2020,1.839062939,Natural,38.99669,-119.5408,NVSFC,Timber,US-NV,9,Group-1,"Douglas County, Nevada, United States",Douglas%20County%2C%20Nevada%2C%20United%20States,77.3,29.9,54.1,39.22,0,19.5,1018.4,9.9,547.6,Clear
197,2/18/2021,3/5/2021,44.85458969,Human,36.09058,-115.0345,NVLIC,Unknown,US-NV,15,Group-2,"5478, Flowing Spring Street, East Las Vegas, Whitney, Clark County, Nevada, 89122, United States",5478%2C%20Flowing%20Spring%20Street%2C%20East%20Las%20Vegas%2C%20Whitney%2C%20Clark%20County%2C%20Nevada%2C%2089122%2C%20United%20States,89.4,61.4,77.1,10.99,0,5.3,1011.3,9.9,482.7,Clear
200,8/5/2020,8/6/2020,0.5,Unknown,42.3689,-105.4883,WYCPC,Grass-Shrub,US-WY,1,Group-1,"Converse County, Wyoming, United States",Converse%20County%2C%20Wyoming%2C%20United%20States,56.1,27.4,43.2,64.53,0.02,18.6,1016.9,9.9,300.6,"Rain, Partially cloudy"
203,6/19/2020,6/26/2020,4,Human,31.75981,-111.9623,AZTDC,Unknown,US-AZ,7,Group-1,"Pima County, Arizona, United States",Pima%20County%2C%20Arizona%2C%20United%20States,86,52.1,71.6,19.93,0,13.9,1010.4,9.9,583.6,Clear
204,5/2/2020,5/6/2020,0.756747572,Human,39.64943,-116.0325,NVCNC,Brush,US-NV,4,Group-1,"Eureka / Carlin Road, Shannon, Eureka County, Nevada, 89822, United States",Eureka%20%2F%20Carlin%20Road%2C%20Shannon%2C%20Eureka%20County%2C%20Nevada%2C%2089822%2C%20United%20States,,,,,,,,,,
207,6/12/2020,6/17/2020,4,Human,33.84206,-112.3329,AZPDC,Grass,US-AZ,5,Group-1,"North Christian Church Camp Road, Peoria, Maricopa County, Arizona, United States",North%20Christian%20Church%20Camp%20Road%2C%20Peoria%2C%20Maricopa%20County%2C%20Arizona%2C%20United%20States,91.7,64.4,79.5,16.13,0,9.7,1009.8,9.9,474.3,Clear
212,7/20/2020,7/21/2020,56.75,Human,34.13575,-117.1915,CASBCC,Unknown,US-CA,1,Group-1,"Steve Faris Memorial Highway, Highland, San Bernardino County, California, 92346, United States",Steve%20Faris%20Memorial%20Highway%2C%20Highland%2C%20San%20Bernardino%20County%2C%20California%2C%2092346%2C%20United%20States,87.1,49.4,68.1,46.05,0,18.6,1013,9.9,494.1,Clear
214,12/29/2020,12/31/2020,4,Human,34.92741,-98.41821,ARAOC,Grass,US-OK,2,Group-1,"11034, E1440 Road, Caddo County, Oklahoma, 73006, United States",11034%2C%20E1440%20Road%2C%20Caddo%20County%2C%20Oklahoma%2C%2073006%2C%20United%20States,,,,,,,,,,
216,3/12/2021,3/31/2021,4.635735481,Human,29.05793,-81.83696,FLFIC,Timber,US-FL,19,Group-2,"11343, Southeast 189th Terrace, Marion County, Florida, 32179, United States",11343%2C%20Southeast%20189th%20Terrace%2C%20Marion%20County%2C%20Florida%2C%2032179%2C%20United%20States,92.9,71.1,81.7,70.78,0.1,10.5,1015.8,9.4,484.8,Rain
218,6/9/2020,6/23/2020,4,Human,34.03764,-118.69873,CALACC,Unknown,US-CA,,,"3658, Winter Canyon Road, Malibu, Los Angeles County, California, 90265, United States",3658%2C%20Winter%20Canyon%20Road%2C%20Malibu%2C%20Los%20Angeles%20County%2C%20California%2C%2090265%2C%20United%20States,74.7,58.5,65.6,65.66,0,10.8,1012.8,9,525.6,Partially cloudy
220,5/7/2020,5/11/2020,15,Human,34.1334,-117.1833,CASBCC,Unknown,US-CA,4,Group-1,"28426, Highland Avenue, Highland, San Bernardino County, California, 92346, United States",28426%2C%20Highland%20Avenue%2C%20Highland%2C%20San%20Bernardino%20County%2C%20California%2C%2092346%2C%20United%20States,83.4,45.1,64,42.83,0,16.4,1013.8,9.9,516.4,Clear
221,11/10/2020,11/25/2020,4,Human,38.59136,-82.5837,PAMACC,Timber,US-OH,15,Group-2,"2786, Oak Ridge Road, Lawrence Township, Lawrence County, Ohio, 45645, United States",2786%2C%20Oak%20Ridge%20Road%2C%20Lawrence%20Township%2C%20Lawrence%20County%2C%20Ohio%2C%2045645%2C%20United%20States,,,,,,,,,,
223,2/4/2021,2/20/2021,0.1,Human,34.89812,-95.26555,ARAOC,Timber,US-OK,16,Group-2,"Craven Road, Latimer County, Oklahoma, 74578, United States",Craven%20Road%2C%20Latimer%20County%2C%20Oklahoma%2C%2074578%2C%20United%20States,63.3,49,59.1,86.48,0.15,14.4,1011.5,9.3,130,"Rain, Partially cloudy"
229,3/19/2021,3/21/2021,0.35,Undetermined,25.42499,-80.78468,FLFIC,Grass,US-FL,2,Group-1,"Miami-Dade County, Florida, United States",Miami-Dade%20County%2C%20Florida%2C%20United%20States,88.8,77.6,82.5,71.8,0,15,1016.6,9.9,450,Partially cloudy
232,4/24/2020,5/8/2020,4,Unknown,34.0396,-118.58123,CALACC,Unknown,US-CA,,,"Pacific Coast Highway, Topanga, California, 90272-3002, United States",Pacific%20Coast%20Highway%2C%20Topanga%2C%20California%2C%2090272-3002%2C%20United%20States,70.9,58.2,63.7,72.4,0,10.1,1013,8.8,498.8,Partially cloudy
234,6/15/2020,6/17/2020,0.005355765,Human,36.03313,-115.7027,NVLIC,Grass,US-NV,2,Group-1,"Pahrump Valley Highway, Clark County, Nevada, United States",Pahrump%20Valley%20Highway%2C%20Clark%20County%2C%20Nevada%2C%20United%20States,89.5,62,77.3,10.69,0,5.9,1011.4,9.9,436.1,Clear
236,7/7/2020,7/10/2020,4,Natural,48.00811,-90.51053,MNMNCC,Timber,US-MN,3,Group-1,"Cook County, Minnesota, United States",Cook%20County%2C%20Minnesota%2C%20United%20States,53.5,38.5,45,65.91,0.96,15.5,1013.2,9.3,322.6,Rain
238,2/26/2021,3/12/2021,4,Unknown,37.47321024,-119.7222323,CAVNCC,Brush,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States",5790%2C%20Creel%20Road%2C%20Ponderosa%20Basin%2C%20Mariposa%20County%2C%20California%2C%2095338%2C%20United%20States,91,54.4,73.9,37.67,0,8.6,1012.2,9.9,528.1,Clear
241,2/11/2021,2/21/2021,4,Human,38.7946,-104.8999,COPBC,Grass,US-CO,10,Group-1,"High Drive, El Paso County, Colorado, United States",High%20Drive%2C%20El%20Paso%20County%2C%20Colorado%2C%20United%20States,71.1,45.4,59.7,52.42,0,12.8,1016.3,9.9,453.1,Partially cloudy
249,6/11/2020,6/12/2020,0.763525551,Human,39.918217,-114.716333,NVECC,Grass,US-NV,1,Group-1,"Great Basin Highway, Lages Station, White Pine County, Nevada, United States",Great%20Basin%20Highway%2C%20Lages%20Station%2C%20White%20Pine%20County%2C%20Nevada%2C%20United%20States,69.2,26.1,49.5,33.23,0,20.8,1015.1,9.9,388.8,Clear
250,5/11/2020,5/26/2020,32.8575616,Human,35.87371,-115.22,NVLIC,Grass,US-NV,15,Group-2,"Erie, Clark County, Nevada, United States",Erie%2C%20Clark%20County%2C%20Nevada%2C%20United%20States,89.4,61.9,77.2,10.93,0,6,1011.4,9.9,460.9,Clear
251,9/27/2020,10/1/2020,4.744831002,Unknown,45.7625,-108.4518,MTBDC,Unknown,US-MT,4,Group-1,"2008, Coburn Road, Yellowstone County, Montana, 59101, United States",2008%2C%20Coburn%20Road%2C%20Yellowstone%20County%2C%20Montana%2C%2059101%2C%20United%20States,62.1,43.1,51.2,47.3,0,26.4,1015.5,9.9,336.9,Partially cloudy
252,6/17/2020,7/1/2020,83,Human,35.91634,-121.4352,CALPCC,Grass,US-CA,14,Group-1,"Plaskett Ridge Road, Plaskett, Monterey County, California, United States",Plaskett%20Ridge%20Road%2C%20Plaskett%2C%20Monterey%20County%2C%20California%2C%20United%20States,,,,,,,,,,
255,8/15/2020,10/14/2020,4,Natural,33.39059,-110.4627,AZPHC,Grass-Shrub,US-AZ,60,Group-5,"White Mountain Avenue, Gila County, Arizona, United States",White%20Mountain%20Avenue%2C%20Gila%20County%2C%20Arizona%2C%20United%20States,,,,,,,,,,
256,8/16/2020,9/21/2020,5967.492069,Human,47.26405595,-119.8700216,WAYAC,Unknown,US-WA,36,Group-3,"Martin Road Northwest, Grant County, Washington, United States",Martin%20Road%20Northwest%2C%20Grant%20County%2C%20Washington%2C%20United%20States,72.1,51.1,61.9,32.61,0,18.4,1018.1,9.9,569.9,Clear
257,8/2/2020,8/10/2020,2.421361478,Human,35.87958,-115.2119,NVLIC,Grass,US-NV,8,Group-1,"Clark County, Nevada, United States",Clark%20County%2C%20Nevada%2C%20United%20States,89.5,58.6,76.9,11.12,0,6.9,1011,9.9,482.7,Clear
258,5/18/2020,5/20/2020,4,Human,33.36214,-110.6097,AZPHC,Grass-Shrub,US-AZ,2,Group-1,"Gila County, Arizona, United States",Gila%20County%2C%20Arizona%2C%20United%20States,77,46.4,63.5,22.9,0,9.2,1019.1,9.9,573.7,Clear
264,9/1/2020,9/6/2020,0.00758868,Unknown,41.333,-110.4348,WYCPC,Grass-Shrub,US-WY,5,Group-1,"I 80, Uinta County, Wyoming, 82933, United States",I%2080%2C%20Uinta%20County%2C%20Wyoming%2C%2082933%2C%20United%20States,25,16.7,21.1,72.74,0,24.2,1023.3,9.8,214.4,Partially cloudy
268,7/22/2020,7/27/2020,4,Natural,30.38267,-81.48618,FLFIC,Timber,US-FL,5,Group-1,"13250, Ft Caroline Road, St Johns Bluff Estates, Jacksonville, Duval County, Florida, 32225, United States",13250%2C%20Ft%20Caroline%20Road%2C%20St%20Johns%20Bluff%20Estates%2C%20Jacksonville%2C%20Duval%20County%2C%20Florida%2C%2032225%2C%20United%20States,94.5,72,83,67.2,0,17,1014.9,8.5,491.5,Clear
272,3/11/2021,3/19/2021,7,Human,35.25705,-95.09035,ARAOC,Grass-Shrub,US-OK,8,Group-1,"OK 9, Haskell County, Oklahoma, 74462, United States",OK%209%2C%20Haskell%20County%2C%20Oklahoma%2C%2074462%2C%20United%20States,,,,,,,,,,
274,3/21/2021,3/24/2021,0.1,Human,47.57047697,-93.74467364,MNMNCC,Grass,US-MN,3,Group-1,"Itasca County, Minnesota, United States",Itasca%20County%2C%20Minnesota%2C%20United%20States,50.3,37.3,43.3,64.13,0,17.1,1016.9,9.7,268.8,Partially cloudy
275,11/2/2020,12/11/2020,0.1,Unknown,44.85152,-112.1471,MTDDC,Timber,US-MT,39,Group-3,"Madison County, Montana, United States",Madison%20County%2C%20Montana%2C%20United%20States,55.6,38.7,46.8,50.04,0.03,12.6,1018,9.8,475.2,"Rain, Partially cloudy"
276,2/13/2021,2/22/2021,160.8896715,Human,31.84475,-110.7289,AZTDC,Grass-Shrub,US-AZ,9,Group-1,"Rosemont Junction, Pima County, Arizona, United States",Rosemont%20Junction%2C%20Pima%20County%2C%20Arizona%2C%20United%20States,87.9,57.4,72.6,17.61,0,8.9,1010.4,9.9,582.8,Clear
278,9/2/2020,9/19/2020,4,Human,46.5407855,-108.3748779,MTFPAC,Grass,US-MT,17,Group-2,"572, North Gage Road, Musselshell County, Montana, 59072, United States",572%2C%20North%20Gage%20Road%2C%20Musselshell%20County%2C%20Montana%2C%2059072%2C%20United%20States,55.4,38.1,46.6,53.27,0.01,27.1,1016.2,9.9,175.8,"Rain, Partially cloudy"
281,6/8/2020,6/9/2020,0.036484702,Human,36.4404,-114.9641,NVLIC,Grass,US-NV,1,Group-1,"Frozen Toe Road, Clark County, Nevada, United States",Frozen%20Toe%20Road%2C%20Clark%20County%2C%20Nevada%2C%20United%20States,89.5,58.6,76.9,11.12,0,6.9,1011,9.9,482.7,Clear
283,8/4/2020,8/18/2020,19.05372625,Human,29.17363,-102.9964,,Unknown,MX-CA,,,"former ""motel"", Hot Springs Road, Hot Springs, Brewster County, Texas, United States","former%20""motel""%2C%20Hot%20Springs%20Road%2C%20Hot%20Springs%2C%20Brewster%20County%2C%20Texas%2C%20United%20States",,,,,,,,,,
284,6/15/2020,7/8/2020,4,Natural,37.40153,-107.1118,CODRC,Timber,US-CO,23,Group-2,"County Road 634, Mineral County, Colorado, United States",County%20Road%20634%2C%20Mineral%20County%2C%20Colorado%2C%20United%20States,33.5,15.4,24.2,41.11,0,6.6,1026.8,9.8,230.5,Clear
286,7/17/2020,7/22/2020,4,Human,37.04667,-113.3002,UTCDC,Grass,US-UT,5,Group-1,"Washington County, Utah, United States",Washington%20County%2C%20Utah%2C%20United%20States,47.2,27.7,37.6,31.5,0,7.7,1028.8,9.9,138.5,Clear
287,5/31/2020,6/14/2020,4,Unknown,33.16,-112.6489,AZPDC,Unknown,US-AZ,,,"Buckeye, Maricopa County, Arizona, United States",Buckeye%2C%20Maricopa%20County%2C%20Arizona%2C%20United%20States,64.5,42.1,53.2,32.69,0,7.7,1018,9.9,343.1,Clear
289,5/5/2020,5/10/2020,3.512988948,Human,35.83795,-115.2706,NVLIC,Grass,US-NV,5,Group-1,"Seven Magic Mountains, South Las Vegas Boulevard, Henderson, Clark County, Nevada, United States",Seven%20Magic%20Mountains%2C%20South%20Las%20Vegas%20Boulevard%2C%20Henderson%2C%20Clark%20County%2C%20Nevada%2C%20United%20States,89.3,62,77.1,11.07,0,6.3,1011.4,9.9,460.9,Clear
292,8/24/2020,8/31/2020,4,Natural,34.74034,-113.2135,AZPDC,Unknown,US-AZ,7,Group-1,"Yavapai County, Arizona, United States",Yavapai%20County%2C%20Arizona%2C%20United%20States,75.9,44.4,62.5,24.83,0,15.7,1012,9.9,534.2,Clear
293,6/26/2020,6/26/2020,4,Human,43.299428,-74.217933,NHNEC,Grass,US-NY,0,Group-1,"Ошская область, Кыргызстан",Ошская%20область%2C%20Кыргызстан,,,,,,,,,,
294,10/26/2020,11/9/2020,13694.30253,Unknown,37.47321024,-119.7222323,CARRCC,Unknown,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States",5790%2C%20Creel%20Road%2C%20Ponderosa%20Basin%2C%20Mariposa%20County%2C%20California%2C%2095338%2C%20United%20States,91,54.4,73.9,37.67,0,8.6,1012.2,9.9,528.1,Clear
297,9/7/2020,10/28/2020,7120.105168,Unknown,48.33591,-118.202,WACAC,Timber,US-WA,51,Group-4,"Inchelium Kettle Falls Road, Inchelium, Ferry County, Washington, United States",Inchelium%20Kettle%20Falls%20Road%2C%20Inchelium%2C%20Ferry%20County%2C%20Washington%2C%20United%20States,66.2,30.8,50.3,53.08,0,10,1018.8,9.9,424.8,Clear
301,3/7/2021,3/17/2021,1,Human,36.70221,-92.1424,MOMOC,Timber,US-MO,10,Group-1,"State Highway KK, Howell County, Missouri, 65637, United States",State%20Highway%20KK%2C%20Howell%20County%2C%20Missouri%2C%2065637%2C%20United%20States,72,53.9,64.2,78.08,0.08,15,1014.2,9.7,319.2,"Rain, Partially cloudy"
304,7/21/2020,9/16/2020,4,Human,46.5407855,-108.3748779,MTMCC,Grass,US-MT,57,Group-4,"572, North Gage Road, Musselshell County, Montana, 59072, United States",572%2C%20North%20Gage%20Road%2C%20Musselshell%20County%2C%20Montana%2C%2059072%2C%20United%20States,55.4,38.1,46.6,53.27,0.01,27.1,1016.2,9.9,175.8,"Rain, Partially cloudy"
306,7/22/2020,8/5/2020,4,Unknown,37.47321024,-119.7222323,CALACC,Timber,US-CA,,,"5790, Creel Road, Ponderosa Basin, Mariposa County, California, 95338, United States",5790%2C%20Creel%20Road%2C%20Ponderosa%20Basin%2C%20Mariposa%20County%2C%20California%2C%2095338%2C%20United%20States,91,54.4,73.9,37.67,0,8.6,1012.2,9.9,528.1,Clear
310,8/7/2020,8/13/2020,10.66461604,Human,40.178333,-110.299444,UTUBC,Unknown,US-UT,6,Group-1,"US 40;SR 6, Duchesne County, Utah, United States",US%2040;SR%206%2C%20Duchesne%20County%2C%20Utah%2C%20United%20States,68.9,52.2,58.7,80.61,0.54,12.2,1007.1,8.2,81.9,"Rain, Overcast"
311,7/15/2020,7/18/2020,0.069572488,Human,33.3329,-110.4553,AZPHC,Grass-Shrub,US-AZ,3,Group-1,"Indian Route 170, Peridot, Gila County, Arizona, 85542, United States",Indian%20Route%20170%2C%20Peridot%2C%20Gila%20County%2C%20Arizona%2C%2085542%2C%20United%20States,,,,,,,,,,
312,6/24/2020,7/8/2020,23,Human,44.44703,-105.4584,WYCPC,Grass,US-WY,,,"WY 59, Campbell County, Wyoming, United States",WY%2059%2C%20Campbell%20County%2C%20Wyoming%2C%20United%20States,61.1,35,46.9,57.67,0,23,1015.4,9.9,396.6,Partially cloudy
